,id,response,true_score
100,27689,white :: White would keep it cooler in the doghouse longer.,1
101,27690,white ::  It will let the dog cool down on a hot day faster.,1
102,27691,"white ::  The average temperature from the glass jar experiment for the color white was 42 degrees. This is the lowest temperature out of the four colors (Black, Dark gray, Light gray and white). Using the color White would reflect the suns heat, causing the doghouse to be cool and not overheat. Therefore, creating a safe doghouse habitat.",2
103,27692,black ::  fdddfddf,0
104,27693,white ::  the color will effect the dog house by keeping it cooler than the other colors because in the experiment the white lid always had the lowest temperature.,2
105,27694,"dark gray :: I believe that the dark gray would be a good paint color for the dog house because depending on where they live, that dog house would not be too hot, nor cold",1
106,27695,light gray :: The Color Will Effect By Having Black And white Mix Because Black Brings Heat And White Is Cooling Color And Mix Them The Dog House Would Be Warm,1
107,27696,black :: After a while the doghouse color might fade out.,0
108,27697,dark gray ::  the color i chose till make the dog house warm but not too hot and dark gray stayed the same temperature at 48 for all 4 trials,1
109,27698,dark gray ::  when the heat stays the same outside it will stay the same inside too.,0
110,27699,"black ::  Using black paint color on the dog house will increase the temperature inside the dog by a few degrees, making it more comfortable for the dog.",1
111,27700,"light gray :: The light gray might affect the doghouse but not too much because the light gray is almost at about room temperature. If you put black in there, it will be too hot. If you put white in there it might be too cold.",1
112,27701,"white ::  By making the doghouse white, the air inside the doghouse would be cooler than with any other color. In the experiment Lid Color vs. Air Temperature Inside Glass Jar, the jar with the white lid was only an average of 42 degrees celsius  after 10 minutes of heating. The jar with the black lid, however, was an average of 53 degrees celsius  after 10 minutes of heating. The jar with the white lid was an average of 11 degrees celsius  cooler than the jar with the black lid. Therefor, the color white will make the doghouse cooler inside and is the best color for the doghouse.",2
113,27702,black ::  it will make it hot in the dog house,1
114,27703,white ::  The color white would make the dog house absorb less heat and make it cooler. According to the experiment black got 53 degrees celsius  and white got 42 degrees celsius  so it should do the same with the dog house.,2
115,27704,black :: i think black so it will keep it insolated and warm for the dog,1
116,27705,"white ::  I would choose black because in the ""Lid Color vs. Air Temperature Inside Glass Jar"" Table It Showed That white was Colder than black and The rest Of the darker colors. For example the average for white was 42 degrees celsius  and the average for black was 5 3 degrees celsius .",2
117,27706,white :: i would pick a white dog house because the white jar lid had the least amount of temperature increase. it only had about a an 18 degrees celsius  increase while the black jar lid had a 29 degrees celsius  increase.,1
118,27707,white ::  white will reflect the heat so the dog house will be cool,1
119,27708,white :: The white paint Because if you paint it a dak er color the results would be a hotter dog house and the results for a white dog house would be a cooler house.,1
120,27709,black ::  how it can affect is that when is really hot outside the doghouse can get really warm or like hot cause the sun is absorbing more energy.,1
121,27710,dark gray :: i think that brandi and jerry should use the color dark gray because if its summer and its really hot then it will not be too hot for the dog and wen its winter the dog can still be worm enough be cause the air inside in a jar like it shows in lid color vs. air temperature inside a glass jar the medium colors that are not too hot or to warm is dark gray and light gray so either of them is fine because you would not want the dog to freeze to death and you would not want it too hot,2
122,27711,"white :: It will keep the doghouse cool and not hot. When Brandi and Jerry put the white lid on, the average temperature inside the jar was 42 degrees celsius . When they put the black jar on, the average temperature was 53 degrees celsius .",2
123,27712,black :: black because the color black attracts the heat and it gets really hot.,1
124,27713,white ::  If the doghouse was white the temperature in the doghouse would be so much cooler than if the doghouse was black. White would be best for the doghouse because you would not want it to be too warm. White would fit the best.,1
125,27714,white :: white color will deflect more sunlight,0
126,27715,"white :: White will not affect the doghouse because in the results in the experiment, it shows that white was the lowest temperature than all the temperatures of different lid colors.",1
127,27716,black :: It will be warmer for the dog,1
128,27717,"white ::  White would be the best choice because it attracts less heat as shown in the experiment the jar with the white lid only got up to 43 degrees celsius  at the highest, and the black lid got up to 54 degrees celsius  at the highest. And the dark grey and light grey were in between.",2
129,27718,white ::  Painting the doghouse white would make it cooler inside the doghouse. I know this because the average temperature for the white-lidded jar was 42 degrees celsius  and the average temperatures for the other colored jars were all equal to or above 45 degrees celsius .,2
130,27719,white :: because it has the least amount of air pressure,0
131,27720,black ::  painting your dog house this color will affect the inside by making it hotter is what i get from the chart and the results the kids who did this project.0,2
132,27721,"light gray :: Light gray does not absorb as much heat as black or Dark gray, which would help keep the doghouse cool in the summer time. It also absorbs some heat, at least more than white, which would help keep the doghouse from getting too cold in the winter. This makes it the optimal paint to use when designing a doghouse.",1
133,27722,white :: it will keep the doghouse cool.,1
134,27723,light gray :: If they use light grey then the doghouse will stay cooler because if the color of the paint is dark then it will absorb more heat as it did in the lamp experiment.,2
135,27724,white :: I think white because in the summer time the dog house is not too hot for the dog house and warm air can come inside the dog house door to make the inside a little warmer.,0
136,27725,"white :: The color white would reflect the light on the house, instead of absorbing it like the black would, keeping the house cool inside.",1
137,27726,white :: the white one will reflect more heat than the other colors,0
