,id,response,true_score
200,27789,"black ::  A black roof will keep the doghouse warm. The average temperature of the black lid was 53 degrees celsius , but the average for the next highest color was 48 degrees celsius . Therefore, a black roof will keep the dog at least 5 degrees celsius  warmer than any other color.",2
201,27790,"dark gray ::  Dark grey would keep it to a cool temperature, but not too cold, and not too warm. Which is good for a dog.",1
202,27791,"white ::  I chose white because it is the coolest and dogs have a lot of fur, so then they can escape the sun in a shady, cool dog house. There was quite a big difference between black which got up to 54 degrees C and white who's highest was 43. In the winter they will have a big fur coat , so they will not need it warm inside their dog house, plus there is not as much sun. If its too cold they can go inside the house.",2
203,27792,black :: because it increases the energy,0
204,27793,white ::  this color might affect the doghouse by making it more dirty and reflecting off of the walls and see light coming from every where.,0
205,27794,white :: so you can see the dog in its house,0
206,27795,"light gray ::  I think Light Gray would be the best paint color because it is not going to make the dog house that hot but you also do  not want it to be too cold so it is a comfortable temperature. Light gray averaged about 45 degrees celsius  while white averaged 42 degrees celsius , Dark Gray at 48 degrees celsius , and Black at 53 degrees celsius .",2
207,27796,"light gray ::  It will keep the dog warm but not as hot as using Black or Dark Grey paint, The average temp for Black is 53 degrees  and the average for the Light Grey paint is 45 degrees  an 8 degrees  difference.",2
208,27797,white :: they dog house would be cooler and not has hot as a black or darker color dog house would be making it better to be in on a hot day,1
209,27798,"black ::  Black is the best color to choose because in the experiment, it said that the black lid attracted the most heat so they should use black paint to trap heat in the doghouse for the dog.",1
210,27799,black :: It would make the doghouse's temperature rise .,1
211,27800,"white :: White paint would effect the dog house because the lighter the colour the less heat is absorbed. According to the data , the difference in temperature would be around 11 degrees Centigrade then the black colour. So the white colour would absorb less heat resulting in a less hot doghouse.",2
212,27801,"dark gray ::  Dark gray is the best choice because its not too hot and its not too cold. The average temperature is 48 degrees celsius  and the other are 53,45 and 42",2
213,27802,black ::  black would keep the house warm when the uv rays hit it they collect all the energy which is in other words heat,1
